Pos,Player,Points,Matches,Wickets,Dots,4s,6s,Catches,Run Outs,Stumpings,Team,Type
1,Jos Butler,284.5,12,0,0,56,37,6,0,0,RR,bt
2,Andre Russell,234,12,14,43,15,28,2,1.5,0,KKR,b
3,Umesh Yadav,212,10,15,123,4,4,5,0,0,KKR,bw
4,Wanindu Hasaranga,200.5,12,21,108,4,1,1,3,0,RCB,bw
5,Mohammed Shami,196.5,12,16,134,0,0,2,1.5,0,GT,bw
6,Rashid Khan,193,12,15,96,2,7,6,0,0,GT,bw
7,Hardik Pandya,190,11,4,47,36,8,2,6,0,GT,b
8,David Warner,190,10,0,0,51,15,4,0,0,DC,bt
9,Yuzvendra Chahal,188.5,12,23,105,0,0,0,3,0,RR,bw
10,Sunil Narine,188,12,8,128,6,3,2,1.5,0,KKR,b
11,Liam Livingstone,187.5,11,3,22,22,25,5,0,0,PK,bt
12,Lokesh Rahul,186.5,12,0,0,39,20,7,1.5,0,LSG,bt
13,Prasidh Krishna,186,12,13,134,0,0,2,1.5,0,RR,bw
14,Kagiso Rabada,184,10,18,100,5,1,2,0,0,PK,bw
15,Ravichandran Ashwin,181.5,12,9,94,11,6,3,0,0,RR,bw
16,Shardul Thakur,179.5,12,9,91,7,7,6,0,0,DC,bw
17,Umran Malik,179,11,15,114,0,0,5,0,0,SRH,bw
18,Sanju Samson,174.5,12,0,0,27,21,10,6,1,RR,bt
19,Avesh Khan,172.5,10,16,101,0,3,2,0,0,LSG,bw
20,Mukesh Choudhary,172,11,16,106,1,0,3,0,0,CSK,bw
21,Kuldeep Yadav,169,12,18,79,3,2,5,0,0,DC,bw
22,Harshal Patel,166,11,14,100,2,2,2,0,0,RCB,bw
23,Mohammed Siraj,161.5,12,8,111,4,0,5,0,0,RCB,bw
24,Krunal Pandya,160,12,9,64,15,3,6,1.5,0,LSG,b
25,Lockie Ferguson,160,11,12,109,1,0,2,1.5,0,GT,bw
26,Quinton de Kock,160,12,0,0,36,12,10,3,0,LSG,bt
27,Jasprit Bumrah,158,12,11,117,0,0,1,0,0,MI,bw
28,Dushmantha Chameera,158,10,9,108,2,2,2,1.5,0,LSG,bw
29,Bhuvneshwar Kumar,155,11,10,110,2,0,2,0,0,SRH,bw
30,Daniel Sams,154.5,9,11,89,1,2,7,0,0,MI,bw
31,Trent Boult,154,11,10,114,0,0,2,0,0,RR,bw
32,Axar Patel,153.5,11,4,69,10,8,7,0,0,DC,bw
33,Rishabh Pant,152,12,0,0,31,14,6,3,3,DC,bt
34,Faf du Plessis,150.5,12,0,0,39,13,3,0,0,RCB,bt
35,N Tilak Varma,150.5,12,0,5,27,15,9,3,0,MI,bt
36,Jason Holder,150,10,13,64,2,6,4,4.5,0,LSG,bw
37,Shubman Gill,149,12,0,0,40,9,7,0,0,GT,bt
38,Glenn Maxwell,149,9,4,38,22,9,3,3,0,RCB,b
39,Ishan Kishan,147.5,12,0,0,37,6,10,9,0,MI,bt
40,Syed Khaleel,147,8,16,91,0,0,0,0,0,DC,bw
41,Dinesh Karthik,145,12,0,0,21,21,6,1.5,1,RCB,bt
42,Rahul Chahar,145,11,12,75,5,3,2,0,0,PK,bw
43,Shikhar Dhawan,144,11,0,0,40,9,5,0,0,DC,bt
44,Rahul Tripathi,141,11,0,0,29,16,5,0,0,SRH,bt
45,Aiden Markram,140,11,1,8,23,16,6,0,0,SRH,bt
46,Dwayne Bravo,139.5,10,16,70,1,1,3,0,0,CSK,b
47,Deepak Hooda,138,12,1,5,30,12,5,0,0,LSG,bt
48,Shreyas Iyer,137,12,0,4,35,8,4,7.5,0,KKR,bt
49,T Natarajan,134.5,9,17,71,0,0,1,1.5,0,SRH,bw
50,Ravindra Jadeja,132.5,10,5,65,6,5,7,0,0,CSK,b
51,Ravi Bishnoi,132,11,9,90,0,0,3,3,0,LSG,bw
52,Nitish Rana,131.5,12,0,1,19,19,6,1.5,0,KKR,bt
53,Josh Hazlewood,130.5,8,13,85,0,0,0,0,0,RCB,bw
54,Abhishek Sharma,129.5,11,0,3,37,9,1,0,0,SRH,bt
55,Shimron Hetmyer,129,11,0,0,18,21,3,3,0,RR,bt
56,Shahbaz Ahamad,129,12,3,40,13,8,6,3,0,RCB,bt
57,Tim Southee,128.5,7,12,79,0,0,3,0,0,KKR,bw
58,Ruturaj Gaikwad,128,12,0,0,29,13,4,0,0,CSK,bt
59,Devdutt Padikkal,127.5,12,0,0,33,10,4,0,0,RR,bt
60,David Miller,127,12,0,0,25,14,5,3,0,GT,bt
61,Prithvi Shaw,126.5,9,0,0,35,9,3,0,0,DC,bt
62,Nicholas Pooran,125,11,0,0,14,18,8,4.5,1,SRH,bt
63,Ambati Rayudu,125,12,0,0,25,15,4,0,0,CSK,bt
64,Moeen Ali,123.5,8,6,44,11,6,4,0,0,CSK,bt
65,Shivam Dube,122,10,0,1,22,16,4,0,0,CSK,bt
66,Arshdeep Singh,121.5,11,6,84,3,0,3,1.5,0,PK,bw
67,Suryakumar Yadav,121,8,0,0,23,16,3,0,0,MI,bt
68,Maheesh Theekshana,113.5,9,12,68,0,1,0,0,0,CSK,bw
69,Lalit Yadav,112,11,4,34,10,6,6,3,0,DC,bw
70,Rohit Sharma,111.5,12,0,0,26,9,6,0,0,MI,bt
71,Robin Uthappa,110.5,12,0,0,19,14,5,1.5,0,CSK,bt
72,Mohsin Khan,110,6,10,69,1,1,0,0,0,LSG,bw
73,Wriddhiman Saha,109,7,0,0,27,5,7,1.5,2,GT,bt
74,MS Dhoni,108.5,12,0,0,20,9,9,4.5,0,CSK,bt
75,Rovman Powell,108,12,0,0,9,18,9,0,0,DC,bt
76,Mitchell Marsh,107,6,4,17,15,11,0,0,0,MI,bt
77,Mustafizur Rahman,106.5,8,8,76,0,0,1,0,0,DC,bw
78,Murugan Ashwin,106.5,8,9,69,1,1,0,0,0,RCB,bw
79,Marco Jansen,104,7,6,72,0,1,3,0,0,SRH,b
80,Rahul Tewatia,100,12,0,6,22,9,3,0,0,GT,bt
81,Kieron Pollard,99,11,4,21,6,9,7,0,0,MI,b
82,Pat Cummins,97.5,5,7,37,5,6,1,0,0,KKR,bw
83,Devon Conway,95,5,0,0,21,11,1,1.5,0,CSK,bt
84,Varun Chakravarthy,95,9,5,66,2,0,2,1.5,0,KKR,bw
85,Kuldeep Sen,94.5,7,8,59,0,0,3,0,0,RR,bw
86,Mayank Agarwal,92.5,10,0,0,20,6,8,1.5,0,PK,bt
87,Riley Meredith,90,6,7,63,0,0,1,0,0,MI,bw
88,Riyan Parag,89.5,12,1,3,9,9,11,1.5,0,RR,bt
89,Jitesh Sharma,85.5,9,0,0,14,9,7,1.5,0,PK,bt
90,Bhanuka Rajapaksa,85.5,7,0,0,15,13,1,0,0,PK,bt
91,Virat Kohli,84,12,0,0,20,4,8,0,0,RCB,bt
92,Odean Smith,83.5,6,6,36,1,5,2,1.5,0,PK,bw
93,Kane Williamson,83,11,0,0,14,8,8,0,0,SRH,bt
94,Dwaine Pretorius,82.5,6,6,37,3,3,2,1.5,0,CSK,b
95,Alzarri Joseph,82,7,6,58,0,0,0,3,0,GT,bw
96,Jaydev Unadkat,80,5,6,36,4,3,1,0,0,MI,bw
97,Ayush Badoni,78,12,1,1,11,7,8,1.5,0,LSG,bt
98,Venkatesh Iyer,76.5,10,0,3,16,7,3,1.5,0,KKR,bt
99,Shivam Mavi,76.5,6,5,49,0,0,4,0,0,KKR,bw
100,Yash Dayal,75.5,5,9,44,0,0,0,0,0,GT,bw
101,Dewald Brevis,72.5,6,1,1,13,8,3,0,0,MI,bw
102,Sandeep Sharma,72,5,2,60,0,0,2,0,0,PK,bw
103,Rinku Singh,71,5,0,0,15,3,8,3,0,KKR,bt
104,Washington Sundar,67,6,4,31,6,2,0,0,0,SRH,bw
105,Jonny Bairstow,67,8,0,0,21,1,2,6,0,PK,bt
106,Marcus Stoinis,67,8,1,7,6,10,2,1.5,0,LSG,bt
107,Akash Deep,62.5,5,5,40,0,0,2,0,0,RCB,bw
108,Jagadeesha Suchith,62.5,4,6,40,0,0,0,1.5,0,SRH,bw
109,Anuj Rawat,62,8,0,0,10,7,5,0,0,RCB,bw
110,Basil Thampi,61,5,5,41,0,0,1,0,0,MI,bw
111,Rishi Dhawan,60,4,4,27,4,1,1,3,0,PK,bw
112,Abhinav Manohar,57,8,0,0,14,3,4,1.5,0,GT,bt
113,Hrithik Shokeen,56.5,4,2,32,5,0,2,0,0,MI,bw
114,Tim David,55.5,6,0,0,7,8,4,0,0,MI,bt
115,Rajat Patidar,53.5,4,0,0,10,6,3,0,0,RCB,bt
116,Simarjeet Singh,52,4,3,39,0,0,1,0,0,CSK,bw
117,Vaibhav Arora,52,5,3,39,0,0,1,0,0,PK,bw
118,Tymal Mills,51,5,6,30,0,0,0,0,0,MI,bw
119,Anrich Nortje,50.5,4,6,27,0,0,1,0,0,DC,bw
120,Matthew Wade,49,6,0,0,13,0,6,1.5,0,GT,bt
121,B Sai Sudharsan,48,5,0,0,14,3,1,0,0,GT,bt
122,Krishnappa Gowtham,48,3,4,29,0,0,2,0,0,LSG,bw
123,Kumar Kartikeya Singh,47.5,4,5,30,0,0,0,0,0,MI,bt
124,Ajinkya Rahane,47.5,6,0,0,14,1,3,1.5,0,KKR,bw
125,Mitchell Santner,47,4,3,25,3,0,1,1.5,0,CSK,b
